target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
NGC4472,GALAXY-ELLIPTICAL,187.4448333333,8.000472222222,3,55394.78044889,1320.389507,5
NGC4472,GALAXY-ELLIPTICAL,187.4448333333,8.000472222222,3,55394.77981222,1021.157207,5
NGC4472,GALAXY-ELLIPTICAL,187.4448333333,8.000472222222,3,55394.77981222,2341.546714,5
ANY,UNIDENTIFIED-PARALLEL-FIELD,187.4621843344,7.998857242339,3,55965.76633005,102.934334,21
ANY,UNIDENTIFIED-PARALLEL-FIELD,187.4621843344,7.998857242339,3,55965.76633005,102.934334,21
ANY,UNIDENTIFIED-PARALLEL-FIELD,187.4621843344,7.998857242339,3,55965.83725634,102.934334,21
ANY,UNIDENTIFIED-PARALLEL-FIELD,187.4621843344,7.998857242339,3,55965.83725634,102.934334,21
ANY,UNIDENTIFIED-PARALLEL-FIELD,187.4621843344,7.998857242339,3,55965.97033486,102.934334,21
ANY,UNIDENTIFIED-PARALLEL-FIELD,187.4621843344,7.998857242339,3,55965.97033486,102.934334,21
ANY,UNIDENTIFIED-PARALLEL-FIELD,187.4621502757,7.998771783996,3,55580.71185345,102.934334,21
ANY,UNIDENTIFIED-PARALLEL-FIELD,187.4621502757,7.998771783996,3,55580.71185345,102.934334,21
ANY,UNIDENTIFIED-PARALLEL-FIELD,187.4621502757,7.998771783996,3,55580.77843901,102.934334,21
ANY,UNIDENTIFIED-PARALLEL-FIELD,187.4621502757,7.998771783996,3,55580.77843901,102.934334,21
ANY,UNIDENTIFIED-PARALLEL-FIELD,187.4621502757,7.998771783996,3,55580.91045308,177.935883,21
ANY,UNIDENTIFIED-PARALLEL-FIELD,187.4621502757,7.998771783996,3,55580.91045308,177.935883,21
M-49,GALAXY-ELLIPTICAL,187.4449916667,8.000411111111,3,56351.81966585,5237.0,5
M-49,GALAXY-ELLIPTICAL,187.4449916667,8.000411111111,3,56351.81966585,5237.0,5
M-49,GALAXY-ELLIPTICAL,187.4449916667,8.000411111111,3,56352.61751288,5237.0,5
M-49,GALAXY-ELLIPTICAL,187.4449916667,8.000411111111,3,56352.61751288,5237.0,5
VCC1226,GALAXY-ELLIPTICAL,187.4449583333,8.000416666667,3,52809.30429752,750.0,5
VCC1226,GALAXY-ELLIPTICAL,187.4449583333,8.000416666667,3,52809.28511938,1210.0,5
VCC1226,GALAXY-ELLIPTICAL,187.4449583333,8.000416666667,3,52809.28511938,1960.0,5
