target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
SN2006X,un1,185.7248333333,15.80894444444,3,54469.88214347,1000.0,0
SN2006X,un2,185.7248333333,15.80894444444,3,54469.86478236,1000.0,111
SN2006X,un3,185.7248333333,15.80894444444,3,54469.79950458,2000.0,178
SN2006X,un4,185.7248333333,15.80894444444,3,54469.79950458,4000.0,189
NGC4321,un5,185.7290156844,15.82292939634,3,49352.5335346,1920.0,200
NGC4321,un6,185.7290156844,15.82292939634,3,49352.53006238,1820.0,211
NGC4321,un7,185.7290156844,15.82292939634,3,49352.53839571,2410.0,222
NGC4321,un8,185.7290156844,15.82292939634,3,49352.53006238,6150.0,233
NGC4321,un9,185.7290156844,15.82292939634,3,49359.43978467,1920.0,244
NGC4321,un10,185.7290156844,15.82292939634,3,49359.43631245,1688.5,1
NGC4321,un11,185.7290156844,15.82292939634,3,49359.44464578,2328.5,12
NGC4321,un12,185.7290156844,15.82292939634,3,49359.43631245,5937.0,23
NGC4321,un13,185.7286666667,15.82186111111,3,51211.98973738,1200.0,34
NGC4321,un14,185.7286666667,15.82186111111,3,51211.98973738,1200.0,45
NGC4321,un15,185.728750000667,15.8224166661491,2,53090.6652893519,5700.0,56
DARK-NM,un16,185.7426018273,15.82321732206,3,58878.0492310995,1800.0,67
DARK,un17,185.8174046025,15.70747593938,1,53155.8919752662,953.0,78
BIAS,un18,185.7235145845,15.81985186046,3,55147.0397310532,0.0,89
BIAS,un19,185.7235145845,15.81985186046,3,55147.0510043981,0.0,100
BIAS,un20,185.7235145845,15.81985186046,3,55147.0525321759,0.0,112
BIAS,un21,185.7235145845,15.81985186046,3,55147.0533421643,0.0,123
BIAS,un22,185.7235145845,15.81985186046,3,55147.0540599537,0.0,134
DARK,un23,185.7520222748,15.81787499062,2,49484.7633962616,1800.0,145
BIAS,un24,185.7520222748,15.81787499062,2,49478.5252017361,0.0,156
BIAS,un25,185.7520222748,15.81787499062,2,49478.526590625,0.0,167
INTFLAT,un26,185.7520222748,15.81787499062,2,49478.5286739931,10.0,174
INTFLAT,un27,185.7520222748,15.81787499062,2,49478.5300628819,10.0,175
BIAS,un28,185.7520222748,15.81787499062,2,49478.5314517361,0.0,176
BIAS,un29,185.7520222748,15.81787499062,2,49478.532840625,0.0,177
INTFLAT,un30,185.7520222748,15.81787499062,2,49478.5342295139,20.0,179
INTFLAT,un31,185.7520222748,15.81787499062,2,49478.5356184375,20.0,180
KSPOTS,un32,185.7520222748,15.81787499062,2,49478.5370073264,1.0,181
KSPOTS,un33,185.7520222748,15.81787499062,2,49478.5383962153,2.6,182
KSPOTS,un34,185.7520222748,15.81787499062,2,49503.2897849884,1.0,183
KSPOTS,un35,185.7520222748,15.81787499062,2,49503.2911738773,2.6,184
BIAS,un36,185.7520222748,15.81787499062,2,49520.5002017014,0.0,185
BIAS,un37,185.7520222748,15.81787499062,2,49520.5015905903,0.0,186
INTFLAT,un38,185.7520222748,15.81787499062,2,49520.5036739236,10.0,187
INTFLAT,un39,185.7520222748,15.81787499062,2,49520.5050628125,10.0,188
BIAS,un40,185.7520222748,15.81787499062,2,49520.5064517014,0.0,190
BIAS,un41,185.7520222748,15.81787499062,2,49520.5078405903,0.0,191
INTFLAT,un42,185.7520222748,15.81787499062,2,49520.5092294792,20.0,192
INTFLAT,un43,185.7520222748,15.81787499062,2,49520.5106183681,20.0,193
KSPOTS,un44,185.7520222748,15.81787499062,2,49520.5120072569,1.0,194
KSPOTS,un45,185.7520222748,15.81787499062,2,49520.5133961458,2.6,195
EARTH-CALIB,un46,185.7520222748,15.81787499062,2,49465.2668683681,14.0,196
EARTH-CALIB,un47,185.7520222748,15.81787499062,2,49465.2682572569,14.0,197
EARTH-CALIB,un48,185.7520222748,15.81787499062,2,49465.2703405903,1.2,198
EARTH-CALIB,un49,185.7520222748,15.81787499062,2,49465.2717294792,1.2,199
EARTH-CALIB,un50,185.7520222748,15.81787499062,2,49465.2738128472,0.35,201
EARTH-CALIB,un51,185.7520222748,15.81787499062,2,49465.2752017361,0.35,202
EARTH-CALIB,un52,185.7520222748,15.81787499062,2,49465.2772850347,3.0,203
EARTH-CALIB,un53,185.7520222748,15.81787499062,2,49465.2786739236,3.0,204
EARTH-CALIB,un54,185.7520222748,15.81787499062,2,49465.4008961458,14.0,205
EARTH-CALIB,un55,185.7520222748,15.81787499062,2,49465.4022850347,14.0,206
EARTH-CALIB,un56,185.7520222748,15.81787499062,2,49465.4043683681,1.2,207
