target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
NGC4321,GALAXY-LINER,185.72875,15.8225,3,53761.413655,1200.0,15
NGC4321,GALAXY-LINER,185.72875,15.8225,3,53761.413655,1200.0,15
SN2006X,EXT-STAR-SUPERNOVA-TYPE-IA,185.7245,15.80886111111,3,55147.05948902,970.0,5
SN2006X,EXT-STAR-SUPERNOVA-TYPE-IA,185.7245,15.80886111111,3,55147.07394532,970.0,5
SN2006X,EXT-STAR-SUPERNOVA-TYPE-IA,185.7245,15.80886111111,3,55147.05303087,270.0,5
SN2006X,EXT-STAR-SUPERNOVA-TYPE-IA,185.7245,15.80886111111,3,55147.05303087,2210.0,5
NGC4321,GALAXY-BULGE-NUCLEUS-SPIRAL,185.7284625,15.82181666667,3,58153.75110114,596.924196,11
NGC4321,GALAXY-BULGE-NUCLEUS-SPIRAL,185.7284625,15.82181666667,3,58153.75110114,596.924196,11
NGC4321,GALAXY-BULGE-NUCLEUS-SPIRAL,185.7284625,15.82181666667,3,58153.73805135,700.0,11
NGC4321,GALAXY-BULGE-NUCLEUS-SPIRAL,185.7284625,15.82181666667,3,58153.72751913,500.0,11
NGC4321,GALAXY-BULGE-NUCLEUS-SPIRAL,185.7284625,15.82181666667,3,58153.72751913,1200.0,11
NGC4321,GALAXY-SPIRAL-ARM,185.7538791667,15.8181,3,58626.82836496,2128.0,21
NGC4321,GALAXY-SPIRAL-ARM,185.7538791667,15.8181,3,58626.82836496,2128.0,21
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,58923.51760013,2190.0,19
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,58923.51138494,1110.0,19
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,58923.5055168,1050.0,19
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,58923.52788939,670.0,19
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,58923.50060939,836.0,19
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,58923.50060939,5856.0,19
NGC-4321-E,GALAXY-SPIRAL,185.7420483333,15.82256111111,3,58877.8355159,2190.0,19
NGC-4321-E,GALAXY-SPIRAL,185.7420483333,15.82256111111,3,58877.82930072,1110.0,19
NGC-4321-E,GALAXY-SPIRAL,185.7420483333,15.82256111111,3,58877.82343257,1050.0,19
NGC-4321-E,GALAXY-SPIRAL,185.7420483333,15.82256111111,3,58877.84580516,670.0,19
NGC-4321-E,GALAXY-SPIRAL,185.7420483333,15.82256111111,3,58877.81852516,836.0,19
NGC-4321-E,GALAXY-SPIRAL,185.7420483333,15.82256111111,3,58877.81852516,5856.0,19
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,58990.62793246,1211.753908,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,58990.63179802,1211.753908,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,58990.62793246,2423.507816,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59266.94535378,710.0,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59266.93901118,780.0,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59266.93901118,1490.0,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59359.68049359,1468.0,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59359.63573655,868.0,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59359.63573655,2336.0,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59361.59519819,2223.503664,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59361.59519819,2223.503664,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59704.6740516,1468.0,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59704.66739678,868.0,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59704.66739678,2336.0,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59706.58626806,2223.503664,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59706.58626806,2223.503664,35
ZTF20AAELULU,EXT-STAR-SUPERNOVA,185.7288583333,15.82361111111,3,59658.68362255,1200.0,3
ZTF20AAELULU,EXT-STAR-SUPERNOVA,185.7288583333,15.82361111111,3,59658.68362255,1200.0,3
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,60089.50477093,2348.0,19
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,60089.50477093,2348.0,19
NGC4321,GALAXY-BULGE,185.72875,15.82241666667,3,53155.81557628,1200.0,10
NGC4321,GALAXY-BULGE,185.72875,15.82241666667,3,53155.79930294,1200.0,10
NGC4321,GALAXY-BULGE,185.72875,15.82241666667,3,53155.79930294,2400.0,10
NGC4321,GALAXY-SPIRAL-ARM,185.7538791667,15.8181,3,58626.82836496,5345.0,21
ANY,UNIDENTIFIED-PARALLEL-FIELD,185.8143857783,15.8199036011,3,57473.58386912,1995.566744,42
ANY,UNIDENTIFIED-PARALLEL-FIELD,185.8143857783,15.8199036011,3,57473.58386912,1995.566744,42
NGC4321,UNIDENTIFIED-PARALLEL-FIELD,185.7284625,15.82181666667,3,57473.60786246,4715.992529,42
NGC4321,UNIDENTIFIED-PARALLEL-FIELD,185.7284625,15.82181666667,3,57473.60786246,4715.992529,42
ZTF20AAELULU,GALAXY-SPIRAL,185.7288583333,15.82361111111,3,58877.8355159,5580.0,19
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,58877.82930072,2220.0,19
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,58877.82343257,2810.0,19
NGC4321,EXT-STAR-SUPERNOVA-TYPE-IA,185.7284625,15.82181666667,3,55147.05948902,1670.0,5
NGC-4321,EXT-STAR-SUPERNOVA-TYPE-IA,185.7274679167,15.82172777778,3,55147.07394532,3810.0,5
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59266.93901118,780.0,35
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,60089.50477093,2348.0,19
SN2006X,EXT-STAR-SUPERNOVA-TYPE-IA,185.7245,15.80886111111,3,55147.05303087,270.0,5
NGC4321,GALAXY-BULGE-NUCLEUS-SPIRAL,185.7284625,15.82181666667,3,58153.72751913,3072.0,11
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,58990.62793246,1211.753908,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,58990.62793246,1211.753908,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,58990.63179802,1489.691866,35
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,58990.63179802,1489.691866,35
ZTF20AAELULU,GALAXY-SPIRAL,185.7288583333,15.82361111111,3,58923.51760013,3390.0,19
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,58923.51138494,1110.0,19
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,58923.5055168,1050.0,19
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,58923.52788939,2170.0,19
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,58923.50060939,1736.0,19
VCC-0530,GALAXY-AMORPHOUS-IRREGULAR,185.53154,15.79911111111,3,56253.97048461,10638.0,9
ANY,UNIDENTIFIED-PARALLEL-FIELD,185.8143857783,15.8199036011,3,57473.58386912,1995.566744,42
ANY,UNIDENTIFIED-PARALLEL-FIELD,185.8143857783,15.8199036011,3,57473.58386912,1995.566744,42
NGC4321,UNIDENTIFIED-PARALLEL-FIELD,185.7284625,15.82181666667,3,57473.60786246,4993.930487,42
NGC4321,UNIDENTIFIED-PARALLEL-FIELD,185.7284625,15.82181666667,3,57473.60786246,4993.930487,42
ZTF20AAELULU,GALAXY-SPIRAL,185.7288583333,15.82361111111,3,58877.8355159,5580.0,19
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,58877.82930072,2220.0,19
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,58877.82343257,2810.0,19
NGC4321,EXT-STAR-SUPERNOVA-TYPE-IA,185.7284625,15.82181666667,3,55147.05948902,1670.0,5
NGC-4321,EXT-STAR-SUPERNOVA-TYPE-IA,185.7274679167,15.82172777778,3,55147.07394532,3810.0,5
SN2019EHK,STAR-SUPERNOVA,185.733875,15.826,3,59266.93901118,780.0,35
NGC-4321,GALAXY-SPIRAL,185.7274679167,15.82172777778,3,60089.50477093,2348.0,19
SN2006X,EXT-STAR-SUPERNOVA-TYPE-IA,185.7245,15.80886111111,3,55147.05303087,270.0,5
